apcc,association_of_police_authorities
devon_and_cornwall_pcp,democratic.support@plymouth.gov.uk
devon_and_cornwall_police_authority,PolAuth@devonandcornwall.pnn.police.uk
dorset_pcc,pcc@dorset.pnn.police.uk
dorset_pcp,foi@dorsetcouncil.gov.uk
dorset_police_authority,martin.goscomb@dorset.pnn.police.uk
dorset_police,foi@dorset.pnn.police.uk
down_district_policing_partnership_dpp,alan.mccay@downdc.gov.uk
dumfries_and_galloway_constabulary,foi@dg.pnn.police.uk
dungannon_and_south_tyrone_district_policing_partnership_dpp,celene.slevin@dungannon.gov.uk
durham_police,freedomofinformation@durham.pnn.police.uk
durham_pcc,general.enquiries@durham.pcc.pnn.gov.uk
durham_pcp,inforights@durham.gov.uk
durham_police_authority,durham.pa@durham.gov.uk
dyfed_powys_police,foi@dyfed-powys.pnn.police.uk
dyfed_powys_pcc,opcc@dyfed-powys.pnn.police.uk
dyfed_powys_pcp,alun.lloydjones@ceredigion.gov.uk
dyfed_powys_police_authority,police.authority@dyfed-powys.pnn.police.uk
essex_police_authority,epa@essex.pnn.police.uk
essex_pfcc,PFCC@essex.pnn.police.uk
essex_police_fire_and_crime_panel,Essex.PFCP@essex.gov.uk
essex_police,info.rights.freedom@essex.police.uk
falmouth_docks_police,Falmouth@ap-group.co.uk
fermanagh_district_policing_partnership_dpp,dpp@fermanagh.gov.uk
fife_constabulary,foi@fife.pnn.police.uk
gloucestershire_police,gloucestershire_police
gloucestershire_pcc,pcc@gloucestershire.pnn.police.uk
gloucestershire_pcp,customerservices@gloucestershire.gov.uk
gloucestershire_police_authority,Police.Authority@gloucestershire.pnn.police.uk
grampian_joint_police_board,gjpb@aberdeencity.gov.uk
grampian_police,foienquiries@grampian.pnn.police.uk
greater_manchester_pcc,pcc.enquiries@greatermanchester-ca.gov.uk
greater_manchester_pcp,a.annette@agma.gov.uk
greater_manchester_police_authority,info@gmpa.gov.uk
gmp,freedomofinformation@gmp.police.uk
gwent_pcc,commissioner@gwent.pnn.police.uk
gwent_pcp,gwentpcp@caerphilly.gov.uk
gwent_police_authority,policeauthority@gwent.pnn.police.uk
gwent_police,foi@gwent.pnn.police.uk
hampshire_police,information@hampshire.pnn.police.uk
hampshire_pcc,opcc@hampshire.pnn.police.uk
hampshire_pcp,members.services@hants.gov.uk
hampshire_police_authority,police.authority@hampshire.pnn.police.uk
hertfordshire_police,foi@herts.pnn.police.uk
hertfordshire_pcc,commissioner@herts.pnn.police.uk
hertfordshire_pcp,pcp@broxbourne.gov.uk
hertfordshire_police_authority,foi@herts.pnn.police.uk
hm_inspector_of_constabulary_for_scotland,hmic@gov.scot
hmicfrs,HMICFRSFoI@hmicfrs.gov.uk
humberside_pcp,policeandcrimepanel@northlincs.gov.uk
humberside_police_authority,staff@humberside-pa.karoo.co.uk
humberside_police,informationcomplianceunit@humberside.pnn.police.uk
ipab,acpo.request@foi.pnn.police.uk
kent_pcc,contactyourpcc@kent.police.uk
kent_pcp,freedomofinformation@kent.gov.uk
kent_police_authority,kpaenquiries@kent.pnn.police.uk
kent_police,freedomofinformation@kent.police.uk
lancashire_police,FOI@Lancashire.pnn.police.uk
lancashire_pcc,commissioner@lancashire-pcc.gov.uk
lancashire_pcp,Democraticservices@blackburn.gov.uk
lancashire_police_authority,info@lpa.lancscc.gov.uk
larne_district_policing_partnership_dpp,burnss@larne.gov.uk
leicestershire_police,foi@leicestershire.pnn.police.uk
leicestershire_pcc,police.commissioner@leicestershire.pnn.police.uk
leicestershire_pcp,info.requests@leicester.gov.uk
leicestershire_police_authority,police.authority@leicestershire.pnn.police.uk
limavaday_district_policing_partnership_dpp,dpp@limavady.gov.uk
lincolnshire_pcc,lincolnshire-pcc@lincs.pnn.police.uk
lincolnshire_pcp,lincolnshirepcp@e-lindsey.gov.uk
lincolnshire_police_authority,john.king@lincs.pnn.police.uk
lincolnshire_police,foi@lincs.pnn.police.uk
lisburn_district_policing_partnership_dpp,dpp@lisburn.gov.uk
lothian_and_borders_police_board,policeboard@edinburgh.gov.uk
lothian_and_borders_police,fiu@lbp.pnn.police.uk
magherafelt_district_policing_partnership_dpp,dpp@magherafelt.gov.uk
mopac,FOI@mopac.london.gov.uk
merseyside_pcc,info@merseysidepcc.info
merseyside_pcp,merseysidepcp@knowsley.gov.uk
merseyside_police_authority,pat.cawson@knowsley.gov.uk
merseyside_police,foi@merseyside.police.uk
metropolitan_police_authority,enquiries@mopc.police.uk
the_met,foi@met.police.uk
mdp,MDP-FOI-DP@mod.gov.uk
moyle_district_policing_partnership_dpp,moyledpp@moyle-council.org
nca,StatutoryDisclosureTeam@nca.gov.uk
netcu,info@acpo.pnn.police.uk
npas,npas@npas.pnn.police.uk
npcc,npcc.foi.request@cru.pnn.police.uk
npia,foi@npia.pnn.police.uk
newry_and_mourne_district_policing_partnership_dpp,patricia.hamilton@newryandmourne.gov.uk
newtownabbey_district_policing_partnership_dpp,dppmanager@newtownabbey.gov.uk
norfolk_police,freedom@Norfolk.pnn.police.uk
norfolk_pcc,opccn-foi@norfolk.pnn.police.uk
norfolk_pcp,information.management@norfolk.gov.uk
norfolk_police_authority,policeauthority@norfolk.pnn.police.uk
north_wales_pcc,OPCC@nthwales.pnn.police.uk
north_wales_pcp,policepanel@conwy.gov.uk
north_wales_police_authority,PoliceAuthorityWebSite@north-wales.police.uk
north_wales_police,FreedomofInformationTeam@nthwales.pnn.police.uk
north_yorkshire_pcp,infogov@northyorks.gov.uk
north_yorkshire_police_authority,info@nypa.gov.uk
north_yorkshire_pfcc,info@northyorkshire-pfcc.gov.uk
nyp,CivilDisclosure@northyorkshire.pnn.police.uk
northamptonshire_pcp,jedmunds@northamptonshire.gov.uk
northamptonshire_police_authority,debbier@northants-pa.gov.uk
northamptonshire_pcc,commissioner@northantspfcc.pnn.gov.uk
northamptonshire_police,freedomofinformation@northants.police.uk
northern_constabulary,foi@northern.pnn.police.uk
northern_ireland_police_fund,admin@nipolicefund.org
northern_ireland_policing_board,foi@nipolicingboard.org.uk
northern_joint_police_board,rhona.moir@highland.gov.uk
northumbria_pcc,enquiries@northumbria-pcc.gov.uk
northumbria_pcp,emmareynard@gateshead.gov.uk
northumbria_police_authority,enquiries.npa@gateshead.gov.uk
northumbria_police,freedom.info@northumbria.pnn.police.uk
nottinghamshire_pcc,nopcc@nottinghamshire.pnn.police.uk
nottinghamshire_pcp,enquiries@nottscc.gov.uk
nottinghamshire_police_authority,npa@nottinghamshire.pnn.police.uk
nottinghamshire_police,freedomofinformation@nottinghamshire.pnn.police.uk
omagh_district_policing_partnership_dpp,dpp@omagh.gov.uk
police_advisory_board_for_england_and_wales,pabewsecretariat@homeoffice.gov.uk
police_advisory_board_for_scotland,address-unknown
police_complaints_commissioner_for_scotland,enquiries@pirc.gsi.gov.uk
pirc,informationrequests@pirc.gov.scot
police_negotiating_board,william.blase@berr.gsi.gov.uk
police_scotland,foi@scotland.pnn.police.uk
psni,FOI@psni.pnn.police.uk
port_of_bristol_police,port.police@bristolport.co.uk
port_of_dover_police,FOI.portofdoverpolice@doverport.co.uk
port_of_felixstowe_police,enquiries@fdrc.co.uk
port_of_larne_police,info@portoflarne.co.uk
port_of_liverpool_police,GroupDataProtectionOfficer@peelports.com
port_of_portland_police,police@portland-port.co.uk
port_of_tilbury_london_police,police.control@potll.com
rucgcf,rucgcfoundation@nics.gov.uk
scottish_crime_and_drug_enforcement_agency,enquiries@scdea.pnn.police.uk
scottish_police_authority,FOI@spa.police.uk
spsa,foi.spsa@spsa.pnn.police.uk
south_wales_pcc,commissioner@south-wales.pnn.police.uk
south_wales_pcp,FOI@merthyr.gov.uk
south_wales_police_authority,police.authority@south-wales.pnn.police.uk
south_wales_police,foi@south-wales.pnn.police.uk
south_yorkshire_pcc,info@southyorkshire-pcc.gov.uk
south_yorkshire_pcp,Debbie.Bacon@rotherham.gov.uk
south_yorkshire_police_authority,lkaplan@syjs.gov.uk
syp,FOI@southyorks.pnn.police.uk
staffordshire_pcp,mandy.pattinson@staffordshire.gov.uk
staffordshire_police_authority,alyson.holmes@staffordshire.pnn.police.uk
staffordshire_pfcc,FOI.PFCC@staffordshire-pfcc.gov.uk
staffordshire_police,foi@staffordshire.pnn.police.uk
strabane_district_policing_partnership_dpp,dpp@strabanedc.com
strathclyde_joint_police_board,vanessa.ewing@glasgow.gov.uk
strathclyde_police,info@strathclyde.pnn.police.uk
suffolk_police,information@suffolk.pnn.police.uk
suffolk_pcc,spcc@suffolk.pnn.police.uk
suffolk_pcp,committee.services@suffolk.gov.uk
suffolk_police_authority,spa@suffolk.pnn.police.uk
surrey_pcc,SurreyPCC@surrey.police.uk
surrey_pcp,foi@surreycc.gov.uk
surrey_police_authority,SPA@surrey.pnn.police.uk
surrey_police,foi@surrey.pnn.police.uk
sussex_pcc,spcc@sussex-pcc.gov.uk
sussex_pcp,ninesh.edwards@westsussex.gov.uk
sussex_police_authority,patric.welch@sussexpoliceauthority.gov.uk
sussex_police,foi@sussex.pnn.police.uk
tayside_joint_police_board,whittete@angus.gov.uk
tayside_police,information@tayside.pnn.police.uk
tees_and_hartlepool_harbour_police,dpo@pdports.co.uk
thames_valley_pcc,pcc@thamesvalley.pnn.police.uk
thames_valley_pcp,khalid.ahmed@oxfordshire.gov.uk
thames_valley_police_authority,graham.lawson@thamesvalley.pnn.police.uk
thames_valley_police,information@thamesvalley.pnn.police.uk
police_federation,FOI@polfed.org
the_police_ict_company_limited,FOIRequests@homeoffice.gov.uk
ukfpu,footballdesk@fpu.pnn.police.uk
nwcu,acpo.request@foi.pnn.police.uk
university_of_cambridge_constabulary,FOI@admin.cam.ac.uk
warwickshire_pcc,opcc@warwickshire.pnn.police.uk
warwickshire_pcp,janepollard@warwickshire.gov.uk
warwickshire_police_authority,policeauthority@warwickshire.gov.uk
warwickshire_police,Freedom.Information@warwickshire.pnn.police.uk
west_mercia_pcc,opcc@westmercia.pnn.police.uk
west_mercia_pcp,KGriffiths@worcestershire.gov.uk
west_mercia_police_authority,police.authority@westmercia.pnn.police.uk
west_mercia_police,information@westmercia.pnn.police.uk
west_midlands_pcc,wmpcc@west-midlands.pnn.police.uk
west_midlands_pcp,wmpcp@birmingham.gov.uk
west_midlands_police_authority,police-authority@west-midlands.police.uk
wmp,foi@westmidlands.police.uk
west_yorkshire_pcc,contact@westyorkshire.pcc.pnn.gov.uk
west_yorkshire_pcp,pcpofficer@wakefield.gov.uk
west_yorkshire_police_authority,ed@wypa.pnn.police.uk
west_yorkshire_police,foi@westyorkshire.pnn.police.uk
wiltshire_police,disclosure@wiltshire.pnn.police.uk
wiltshire_pcc,pcc@wiltshire.police.uk
wiltshire_pcp,committee@wiltshire.gov.uk
wiltshire_police_authority,police.authority@wiltshire.pnn.police.uk
york_minster_police,info@yorkminster.org
